2026-03-14 17:19:05,802 - INFO - Logging successfully initialized
2026-03-14 17:19:06,461 - INFO - Pygame successfully initialized
2026-03-14 17:19:06,825 - INFO - Menu background image loaded: C:\Users\nikla\Nextcloud\Projekte\Jungle Explorer\jungle_explorer\assets\jungle_background.jpg
2026-03-14 17:19:06,924 - INFO - Game background image loaded: C:\Users\nikla\Nextcloud\Projekte\Jungle Explorer\jungle_explorer\assets\game_background.png
2026-03-14 17:19:06,925 - INFO - Background music loaded: C:\Users\nikla\Nextcloud\Projekte\Jungle Explorer\jungle_explorer\assets\background_music.mp3
2026-03-14 17:19:06,947 - INFO - Jump sound loaded: C:\Users\nikla\Nextcloud\Projekte\Jungle Explorer\jungle_explorer\assets\jump_sound.wav
2026-03-14 17:19:06,948 - INFO - Death sound loaded: C:\Users\nikla\Nextcloud\Projekte\Jungle Explorer\jungle_explorer\assets\death_sound.wav
2026-03-14 17:19:06,949 - INFO - Config loaded: music_volume=0.500000, sfx_volume=0.500000, dev_mode=False
2026-03-14 17:19:06,959 - INFO - Loaded and scaled image: C:\Users\nikla\Nextcloud\Projekte\Jungle Explorer\jungle_explorer\assets\player_run_1.png to size (50, 60)
2026-03-14 17:19:06,960 - INFO - Loaded and scaled image: C:\Users\nikla\Nextcloud\Projekte\Jungle Explorer\jungle_explorer\assets\player_run_2.png to size (50, 60)
2026-03-14 17:19:06,961 - INFO - Loaded and scaled image: C:\Users\nikla\Nextcloud\Projekte\Jungle Explorer\jungle_explorer\assets\player_run_3.png to size (50, 60)
2026-03-14 17:19:06,963 - INFO - Loaded and scaled image: C:\Users\nikla\Nextcloud\Projekte\Jungle Explorer\jungle_explorer\assets\player_run_4.png to size (50, 60)
2026-03-14 17:19:06,964 - INFO - Loaded and scaled image: C:\Users\nikla\Nextcloud\Projekte\Jungle Explorer\jungle_explorer\assets\player_jump.png to size (50, 60)
2026-03-14 17:19:06,965 - INFO - Loaded and scaled image: C:\Users\nikla\Nextcloud\Projekte\Jungle Explorer\jungle_explorer\assets\enemy_run_1.png to size (40, 40)
2026-03-14 17:19:06,965 - INFO - Loaded and scaled image: C:\Users\nikla\Nextcloud\Projekte\Jungle Explorer\jungle_explorer\assets\enemy_run_2.png to size (40, 40)
2026-03-14 17:19:07,009 - INFO - Successfully loaded OptimusPrinceps.ttf
2026-03-14 17:19:07,481 - INFO - Stats saved: {'best_times': {'1': 4.1799938678741455, '2': None}, 'total_playtime': 1749.71621966362, 'last_start_time': 1773505147.4808545}
2026-03-14 17:19:07,841 - INFO - Loaded and scaled image: C:\Users\nikla\Nextcloud\Projekte\Jungle Explorer\jungle_explorer\assets\ground_platform1.png to size (1280, 50)
2026-03-14 17:19:07,851 - INFO - Loaded and scaled image: C:\Users\nikla\Nextcloud\Projekte\Jungle Explorer\jungle_explorer\assets\platform.png to size (170, 30)
2026-03-14 17:19:07,868 - INFO - Loaded and scaled image: C:\Users\nikla\Nextcloud\Projekte\Jungle Explorer\jungle_explorer\assets\moving_platform.png to size (100, 30)
2026-03-14 17:19:07,869 - INFO - Loaded and scaled image: C:\Users\nikla\Nextcloud\Projekte\Jungle Explorer\jungle_explorer\assets\goal.png to size (80, 80)
2026-03-14 17:19:07,870 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:07,900 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:07,933 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:07,959 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:07,988 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,012 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,034 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,057 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,081 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,105 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,130 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,131 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:08,152 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,153 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:08,175 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,176 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:08,197 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,198 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:08,222 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,222 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:08,256 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,256 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:08,285 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,285 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:08,319 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,320 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:08,349 - DEBUG - Checking collisions, on_ground initially: False
